keyword,count
상세,21329
훈련기,20402
코드,20381
데이터,10745
서울,10435
근로자,8499
일반,6011
한국,5592
협회,5260
실업자,4969
청년,4965
국민,4740
카드,4713
배움,4690
산업,4658
디지털,4628
활용,4373
강남구,4321
창업,4102
평생교육,4037
경기,3997
부산,3833
에듀,3377
러닝,3376
부산진구,3175
요약,3136
주식회사,3116
교육,3092
예비,3038
플러스,2972
실무,2898
컴퓨터,2832
연령,2752
자격증,2699
아카데미,2698
학원,2561
구로구,2554
제목,2524
통합,2510
개발,2496
취득,2431
기타,2369
이러닝,2257
고양시,2226
분야,2205
일산동구,2174
분류,2171
지능,2158
인공,2136
테크,2089
대학생,1995
기술,1991
분석,1976
사단법인,1962
그린,1943
빅데이터,1876
윈스,1875
펙원격,1875
정책,1819
일반인,1772
시대,1736
양성,1689
대학,1540
업력,1509
인천,1492
필기,1487
역량,1482
실기,1453
자격,1401
오니,1377
전략,1352
취업,1351
창조,1276
국가,1267
능력,1256
직업,1220
관심,1212
방법,1189
제한,1189
기초,1188
영등포구,1183
기반,1161
다음,1154
제작,1120
미래,1084
미만,1083
퓨어,1082
조건,1078
기사,1068
콘텐츠,1052
워드,1031
컨버전,1031
비원,1016
이내,995
청소년,975
회계,957
복지,948
혁신,933
일자리,924
스마트,923
디자인,916
희망,910
직종,905
전국,896
공간,891
패스,876
주관,858
종합,838
발굴,830
맞춤,821
제조,804
육성,799
시설,798
향상,780
연구기관,774
초기,771
거주,770
강화,762
성형,753
부평구,751
아이디어,750
전문학교,744
업무,731
융합,725
상위,722
전산,720
보건,713
스타트업,699
엑셀,699
비즈니스,696
기능사,690
파이썬,686
활동,683
사무,680
사회,661
전문가,661
마케팅,657
창업가,647
보유,643
보육,642
나이,639
문화,632
핵심,615
구조,613
포토샵,613
변화,612
활성화,608
프로젝트,603
이론,600
대응,599
세무,595
통한,592
시작,590
컴퓨터아트,587
프로그래밍,587
개월,585
온라인,585
컨설팅,583
아래,580
네트워크,569
영상,565
멘토링,563
성장,553
참가자,546
관리,541
이해,540
조리,537
경제,533
등록,531
음료,529
의료,524
일러스트,523
필수,516
중심,511
마스터,507
서초구,500
아이템,493
입문,486
프리미어,483
직장인,481
소재,478
준비,471
서구,453
행사,453
기획,448
주민등록,434
안산시,431
계획,427
성공,427
우대,425
코딩,425
캠퍼스,424
대비,420
서류,418
영상편집,414
광주,413
개발자,412
실전,412
전문,412
인력,410
진행,410
건축,409
인재,409
신규,407
구현,404
미용,400
전공자,400
개인,399
파워포인트,395
요양보호사,393
