field,missing_count,missing_ratio,filled_count
item_id,0,0.0,26803
original_id,0,0.0,26803
source_name,0,0.0,26803
source_category,0,0.0,26803
domain,1,0.0,26802
title,0,0.0,26803
summary,0,0.0,26803
benefit_text,0,0.0,26803
target_text,2,0.0001,26801
region,0,0.0,26803
age_min,24193,0.9026,2610
age_max,24193,0.9026,2610
application_period_text,21728,0.8107,5075
application_start_date,21728,0.8107,5075
application_end_date,21728,0.8107,5075
program_period_text,5378,0.2006,21425
program_start_date,6400,0.2388,20403
program_end_date,6400,0.2388,20403
organization,12,0.0004,26791
location,6400,0.2388,20403
application_method,22278,0.8312,4525
application_url,24265,0.9053,2538
source_url,952,0.0355,25851
contact,6401,0.2388,20402
tags,3790,0.1414,23013
raw_text,0,0.0,26803
info_score,0,0.0,26803
needs_detail_check,0,0.0,26803
collected_at,0,0.0,26803
youth_relevance,2611,0.0974,24192
youth_only,23014,0.8586,3789
youth_preference,23014,0.8586,3789
startup_stage,23014,0.8586,3789
is_digital_training,6400,0.2388,20403
is_job_seeker_friendly,6400,0.2388,20403
training_type,6400,0.2388,20403
is_open,2611,0.0974,24192
