group_type,group,keyword,tfidf_score
overall,all,코드,0.064355
overall,all,훈련기,0.064342
overall,all,상세,0.064286
overall,all,데이터,0.053705
overall,all,근로자,0.051109
overall,all,서울,0.05011
overall,all,한국,0.035306
overall,all,협회,0.03474
overall,all,실업자,0.033447
overall,all,강남구,0.03138
overall,all,평생교육,0.031323
overall,all,부산,0.030438
overall,all,러닝,0.029888
overall,all,일반,0.029788
overall,all,디지털,0.02937
overall,all,활용,0.029301
overall,all,부산진구,0.028268
overall,all,주식회사,0.028077
overall,all,경기,0.028027
overall,all,플러스,0.027351
overall,all,국민,0.026875
overall,all,카드,0.026851
overall,all,배움,0.026836
overall,all,산업,0.026826
overall,all,에듀,0.026801
overall,all,구로구,0.021909
overall,all,고양시,0.021709
overall,all,일산동구,0.021545
overall,all,지능,0.02073
overall,all,인공,0.020656
overall,all,이러닝,0.020446
overall,all,개발,0.019822
overall,all,분석,0.019696
overall,all,실무,0.019618
overall,all,자격증,0.019565
overall,all,컴퓨터,0.019367
overall,all,윈스,0.019081
overall,all,펙원격,0.019081
overall,all,기타,0.018986
overall,all,빅데이터,0.018819
overall,all,청년,0.018219
overall,all,아카데미,0.018048
overall,all,테크,0.017442
overall,all,시대,0.017325
overall,all,창업,0.017261
overall,all,취득,0.017192
overall,all,학원,0.01711
overall,all,사단법인,0.017056
overall,all,교육,0.016309
overall,all,요약,0.015275
overall,all,예비,0.014532
overall,all,그린,0.014384
overall,all,필기,0.013809
overall,all,연령,0.013741
overall,all,제목,0.013499
overall,all,통합,0.013311
overall,all,기술,0.013275
overall,all,퓨어,0.013071
overall,all,실기,0.012628
overall,all,능력,0.01259
overall,all,분류,0.012513
overall,all,비원,0.012263
overall,all,영등포구,0.012186
overall,all,양성,0.011696
overall,all,대학생,0.011624
overall,all,인천,0.011301
overall,all,컨버전,0.011129
overall,all,일반인,0.010971
overall,all,분야,0.010858
overall,all,기초,0.010783
overall,all,기사,0.010655
overall,all,미래,0.010506
overall,all,자격,0.010405
overall,all,전략,0.010272
overall,all,역량,0.010239
overall,all,업력,0.010165
overall,all,국가,0.00963
overall,all,종합,0.009628
overall,all,직업,0.009495
overall,all,회계,0.009086
overall,all,패스,0.008987
overall,all,스마트,0.008981
overall,all,대학,0.008771
overall,all,취업,0.00873
overall,all,제작,0.008722
overall,all,상위,0.008633
overall,all,향상,0.008568
overall,all,정책,0.008491
overall,all,창조,0.00847
overall,all,콘텐츠,0.008279
overall,all,보건,0.008056
overall,all,파이썬,0.008014
overall,all,업무,0.00798
overall,all,디자인,0.007914
overall,all,시작,0.00787
overall,all,융합,0.007852
overall,all,기반,0.007848
overall,all,제조,0.007823
overall,all,프로그래밍,0.007791
overall,all,복지,0.007623
overall,all,직종,0.007607
overall,all,오니,0.007439
overall,all,엑셀,0.007398
overall,all,성형,0.007387
overall,all,비즈니스,0.007312
overall,all,방법,0.007219
overall,all,사무,0.007172
overall,all,부평구,0.007163
overall,all,미만,0.007034
overall,all,전산,0.007018
overall,all,의료,0.006918
overall,all,핵심,0.006894
overall,all,마케팅,0.006837
overall,all,청소년,0.006756
overall,all,관심,0.006737
overall,all,전국,0.006694
overall,all,전문학교,0.006626
overall,all,직장인,0.006623
overall,all,혁신,0.006553
overall,all,다음,0.006548
overall,all,이해,0.006344
overall,all,전문가,0.006292
overall,all,전공자,0.006254
overall,all,기능사,0.006251
overall,all,서초구,0.006218
overall,all,이론,0.006177
overall,all,입문,0.006145
overall,all,포토샵,0.006143
overall,all,제한,0.006058
overall,all,마스터,0.006053
overall,all,맞춤,0.00597
overall,all,세무,0.005968
overall,all,조건,0.005922
overall,all,워드,0.00587
overall,all,연구기관,0.005725
overall,all,프로젝트,0.005715
overall,all,컴퓨터아트,0.005593
overall,all,이내,0.00552
overall,all,중심,0.005513
overall,all,공간,0.005498
overall,all,희망,0.005496
overall,all,강화,0.005394
overall,all,일자리,0.005323
overall,all,일러스트,0.005323
overall,all,클라우드,0.005236
overall,all,보통,0.00521
overall,all,시설,0.005203
overall,all,변화,0.005196
overall,all,구조,0.005178
overall,all,필수,0.005142
overall,all,적용,0.005114
overall,all,관리,0.005106
overall,all,주관,0.005066
overall,all,영상,0.005034
overall,all,대응,0.004958
overall,all,육성,0.004921
overall,all,조리,0.00491
overall,all,실전,0.004899
overall,all,음료,0.004866
overall,all,온라인,0.004858
overall,all,요양보호사,0.004811
overall,all,발굴,0.00481
overall,all,스케,0.0048
overall,all,구현,0.004761
overall,all,코딩,0.00476
overall,all,파워포인트,0.004746
overall,all,초기,0.004712
overall,all,프리미어,0.004705
overall,all,금천구,0.004684
overall,all,대비,0.004648
overall,all,아이디어,0.004636
overall,all,팩토리,0.004599
overall,all,사회,0.004516
overall,all,스마트워크,0.004515
overall,all,관리사,0.004497
overall,all,네트워크,0.00449
overall,all,스타트업,0.004461
overall,all,산업혁명,0.004447
overall,all,개발자,0.004434
overall,all,지식,0.004427
overall,all,거주,0.00442
overall,all,기획,0.004405
overall,all,보육,0.004323
overall,all,서구,0.004271
overall,all,세상,0.004253
overall,all,영상편집,0.004245
overall,all,누구,0.00422
overall,all,미용,0.004213
overall,all,창업가,0.004212
overall,all,통한,0.004182
overall,all,플랫폼,0.004157
overall,all,참가자,0.004128
overall,all,합격,0.004111
overall,all,나이,0.004095
overall,all,건축,0.004066
